audio,caption
dataset/Ice-Prince-Kolo-ft.-Oxlade_Dflamz Radio.mp3,"upbeat, energetic, Afrobeats, male, collaboration, Nigerian"
dataset/Olamide ft asake - New religion.MP3,"energetic, upbeat, afrobeat, hip hop, male, collaboration"
dataset/Sean paul ft. sia - Dynamite.MP3,"energetic, upbeat, pop, dancehall, mixed, collaboration"
dataset/Lil uzi vert - All alone.MP3,"lonely, rap, male, Lil Uzi Vert"
"dataset/Hiro, Davido - Jolie Nana Remix.mp3","upbeat, afrobeat, male, remix"
dataset/DR CRYME - NIKA.mp3,"upbeat, energetic, Afrobeats, male, Ghanaian artist"
dataset/Kelvyn-Boy-Vero.mp3,"upbeat,happy, afrobeats, male, danceable"
dataset/Roman dc - Moment.MP3,"energetic,happy, pop, male, upbeat"
dataset/Dremo ft. patoranking - Wonder.MP3,"upbeat,happy, afrobeat, male, collaboration"
dataset/DJ Spinall - Dis Love ft Wizkid  Tiwa Savage.mp3,"upbeat, romantic, Afrobeats, mixed, collaboration"
dataset/Blaqbonez-ROAD-RUNNERS-Ft-Black-Sherif.mp3,"energetic,hype, hip hop, male, collaboration"
dataset/Young jonn ft tiwa savage and joeboy - Let them know.MP3,"energetic, lively, Afrobeats, Pop, Mixed, collaboration"
dataset/Davido - The Best ft Mayorkun.mp3,"energetic, upbeat, Afrobeats, male, collaboration"
dataset/PaBrymo Ft Odumodublvck - Dey Play.mp3,"upbeat,happy, afrobeat, male, collaboration"
dataset/Mahalia ft rema & ayra starr - Roadside (+234 remix).MP3,"upbeat, energetic, R&B, Afrobeat, female, male, collaboration, remix"
dataset/Sarkodie Ft Lojay Cougar.mp3,"energetic, upbeat, Afrobeats, male, collaboration"
dataset/Peruzzi ft fireboy dml - Pressure.MP3,"upbeat, energetic, Afrobeats, male, collaboration"
dataset/Shoday-You.mp3,"energetic,happy, pop, male, upbeat"
dataset/KWESI-AMEWUGA-Prepare.mp3,"upbeat, energetic, afrobeats, male, catchy"
